model,train_type,train_data,architecture,model_class,task_cluster,model_display_name,description,model_source,model_source_url,weights_url
wide_resnet101_2,classification,imagenet,wide_resnet101_2,Convolutional,Semantic,Wide-ResNet101,Wide-ResNet101 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
mnasnet0_5,classification,imagenet,mnasnet0_5,Convolutional,Semantic,MNASNet0.5,MNASNet0.5 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
mnasnet1_0,classification,imagenet,mnasnet1_0,Convolutional,Semantic,MNASNet1.0,MNASNet1.0 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
alexnet,random,,alexnet,Convolutional,Semantic,AlexNet,"AlexNet randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg11,random,,vgg11,Convolutional,Semantic,VGG11,"VGG11 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg13,random,,vgg13,Convolutional,Semantic,VGG13,"VGG13 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg16,random,,vgg16,Convolutional,Semantic,VGG16,"VGG16 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg19,random,,vgg19,Convolutional,Semantic,VGG19,"VGG19 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg11_bn,random,,vgg11_bn,Convolutional,Semantic,VGG11-BatchNorm,"VGG11-BatchNorm randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg13_bn,random,,vgg13_bn,Convolutional,Semantic,VGG13-BatchNorm,"VGG13-BatchNorm randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg16_bn,random,,vgg16_bn,Convolutional,Semantic,VGG16-BatchNorm,"VGG16-BatchNorm randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg19_bn,random,,vgg19_bn,Convolutional,Semantic,VGG19-BatchNorm,"VGG19-BatchNorm randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet18,random,,resnet18,Convolutional,Semantic,ResNet18,"ResNet18 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet34,random,,resnet34,Convolutional,Semantic,ResNet34,"ResNet34 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet50,random,,resnet50,Convolutional,Semantic,ResNet50,"ResNet50 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet101,random,,resnet101,Convolutional,Semantic,ResNet101,"ResNet101 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet152,random,,resnet152,Convolutional,Semantic,ResNet152,"ResNet152 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
squeezenet1_0,random,,squeezenet1_0,Convolutional,Semantic,SqueezeNet1.0,"SqueezeNet1.0 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
squeezenet1_1,random,,squeezenet1_1,Convolutional,Semantic,SqueezeNet1.1,"SqueezeNet1.1 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
densenet121,random,,densenet121,Convolutional,Semantic,DenseNet121,"DenseNet121 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
densenet161,random,,densenet161,Convolutional,Semantic,DenseNet161,"DenseNet161 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
densenet169,random,,densenet169,Convolutional,Semantic,DenseNet169,"DenseNet169 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
densenet201,random,,densenet201,Convolutional,Semantic,DenseNet201,"DenseNet201 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
googlenet,random,,googlenet,Convolutional,Semantic,GoogleNet,"GoogleNet randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
shufflenet_v2_x0_5,random,,shufflenet_v2_x0_5,Convolutional,Semantic,ShuffleNet-V2-x0.5,"ShuffleNet-V2-x0.5 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
shufflenet_v2_x1_0,random,,shufflenet_v2_x1_0,Convolutional,Semantic,ShuffleNet-V2-x1.0,"ShuffleNet-V2-x1.0 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
mobilenet_v2,random,,mobilenet_v2,Convolutional,Semantic,MobileNet-V2,"MobileNet-V2 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnext50_32x4d,random,,resnext50_32x4d,Convolutional,Semantic,ResNext50-32x4D,"ResNext50-32x4D randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnext101_32x8d,random,,resnext101_32x8d,Convolutional,Semantic,ResNext50-32x8D,"ResNext50-32x8D randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
wide_resnet50_2,random,,wide_resnet50_2,Convolutional,Semantic,Wide-ResNet50,"Wide-ResNet50 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
wide_resnet101_2,random,,wide_resnet101_2,Convolutional,Semantic,Wide-ResNet101,"Wide-ResNet101 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
mnasnet0_5,random,,mnasnet0_5,Convolutional,Semantic,MNASNet0.5,"MNASNet0.5 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
mnasnet1_0,random,,mnasnet1_0,Convolutional,Semantic,MNASNet1.0,"MNASNet1.0 randomly initialized, with no training.",torchvision,pytorch.org/docs/stable/torchvision/models.html,
autoencoding,taskonomy,taskonomy,resnet50,Convolutional,2D,Autoencoder,Image compression and decompression,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
class_object,taskonomy,taskonomy,resnet50,Convolutional,Semantic,Object Classification,1000-way object classification (via knowledge distillation from ImageNet).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
class_scene,taskonomy,taskonomy,resnet50,Convolutional,Semantic,Scene Classification,Scene Classification (via knowledge distillation from MIT Places).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
curvature,taskonomy,taskonomy,resnet50,Convolutional,3D,Curvatures,Magnitude of 3D principal curvatures,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
denoising,taskonomy,taskonomy,resnet50,Convolutional,Other,Denoising,Uncorrupted version of corrupted image.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
depth_euclidean,taskonomy,taskonomy,resnet50,Convolutional,3D,Euclidean Depth,Depth estimation,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
depth_zbuffer,taskonomy,taskonomy,resnet50,Convolutional,3D,Z-Buffer Depth,Depth estimation.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
edge_occlusion,taskonomy,taskonomy,resnet50,Convolutional,3D,Occlusion Edges,Edges which include parts of the scene.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
edge_texture,taskonomy,taskonomy,resnet50,Convolutional,2D,Texture Edges,Edges computed from RGB only (texture edges).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
egomotion,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Egomotion,Odometry (camera poses) given three input images.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
fixated_pose,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Camera Pose (Fixated),Relative camera pose with matching optical centers.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
inpainting,taskonomy,taskonomy,resnet50,Convolutional,2D,Inpainting,Filling in masked center of image.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
jigsaw,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Jigsaw,Putting scrambled image pieces back together.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
keypoints2d,taskonomy,taskonomy,resnet50,Convolutional,2D,2D Keypoints,Keypoint estimation from RGB-only (texture features).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
keypoints3d,taskonomy,taskonomy,resnet50,Convolutional,3D,3D Keypoints,3D Keypoint estimation from underlying scene 3D.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
nonfixated_pose,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Camera Pose (Nonfixated),Relative camera pose with distinct optical centers.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
normal,taskonomy,taskonomy,resnet50,Convolutional,3D,Surface Normals,Pixel-wise surface normals.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
point_matching,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Point Matching,Classifying if centers of two images match or not.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
reshading,taskonomy,taskonomy,resnet50,Convolutional,3D,Reshading,Reshading with new lighting placed at camera location.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
room_layout,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Room Layout,Orientation and aspect ratio of cubic room layout.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
segment_semantic,taskonomy,taskonomy,resnet50,Convolutional,Semantic,Semantic Segmentation,Pixel-wise semantic labeling (via knowledge distillation from MS COCO).,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
segment_unsup25d,taskonomy,taskonomy,resnet50,Convolutional,3D,Unsupervised 2.5D Segmentation,Segmentation (graph cut approximation) on RGB-D-Normals-Curvature image.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
segment_unsup2d,taskonomy,taskonomy,resnet50,Convolutional,2D,Unsupervised 2D Segmentation,Segmentation (graph cut approximation) on RGB.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
vanishing_point,taskonomy,taskonomy,resnet50,Convolutional,Geometric,Vanishing Point,Three Manhattan-world vanishing points.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
random_weights,taskonomy,,resnet50,Convolutional,Random,Random Weights,Taskonomy architecture randomly initialized.,taskonomy,github.com/alexsax/midlevel-reps/tree/visualpriors,
botnet26t_256,classification,imagenet,botnet26t_256,Transformer,Semantic,BotNet-26T,BotNet-26T trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
cait_s24_224,classification,imagenet,cait_s24_224,Transformer,Semantic,CaiT-S24,CaiT-S24 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
cait_xxs24_224,classification,imagenet,cait_xxs24_224,Transformer,Semantic,CaiT-XXS24,CaiT-XXS24 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
coat_lite_tiny,classification,imagenet,coat_lite_tiny,Transformer,Semantic,CoaT-Lite-Tiny,CoaT-Lite-Tiny trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
coat_lite_small,classification,imagenet,coat_lite_small,Transformer,Semantic,CoaT-Lite-Small,CoaT-Lite-Small trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
coat_mini,classification,imagenet,coat_mini,Transformer,Semantic,CoaT-Mini,CoaT-Mini trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convit_base,classification,imagenet,convit_base,Hybrid,Semantic,ConViT-B,ConViT-B trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convit_small,classification,imagenet,convit_small,Hybrid,Semantic,ConViT-S,ConViT-S trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convit_tiny,classification,imagenet,convit_tiny,Hybrid,Semantic,ConViT-T,ConViT-T trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convmixer_768_32,classification,imagenet,convmixer_768_32,Hybrid,Semantic,ConvMixer-768-32,ConvMixer-768-32 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convnext_base,classification,imagenet,convnext_base,Convolutional,Semantic,ConvNext-B,ConvNext-B trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convnext_large,classification,imagenet,convnext_large,Convolutional,Semantic,ConvNext-L,ConvNext-L trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
convnext_small,classification,imagenet,convnext_small,Convolutional,Semantic,ConvNext-S,ConvNext-S trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
crossvit_base_240,classification,imagenet,crossvit_base_240,Transformer,Semantic,CrossViT-B,CrossViT-B trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
crossvit_tiny_240,classification,imagenet,crossvit_tiny_240,Transformer,Semantic,CrossViT-T,CrossViT-T trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
deit_base_patch16_224,classification,imagenet,deit_base_patch16_224,Transformer,Semantic,DeiT-B-P16-224,DeiT-B-P16-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
deit_small_patch16_224,classification,imagenet,deit_small_patch16_224,Transformer,Semantic,DeiT-S-P16-224,DeiT-S-P16-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
deit_tiny_patch16_224,classification,imagenet,deit_tiny_patch16_224,Transformer,Semantic,DeiT-T-P16-224,DeiT-T-P16-224 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
cspdarknet53,classification,imagenet,cspdarknet53,Convolutional,Semantic,CSP-DarkNet53,CSP-DarkNet53 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
cspresnet50,classification,imagenet,cspresnet50,Convolutional,Semantic,CSP-ResNet50,CSP-ResNet50 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
dla34,classification,imagenet,dla34,Convolutional,Semantic,DLA34,DLA34 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
dla169,classification,imagenet,dla169,Convolutional,Semantic,DLA169,DLA169 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
eca_nfnet_l0,classification,imagenet,eca_nfnet_l0,Convolutional,Semantic,ECA-NFNeT-L0,ECA-NFNeT-L0 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
eca_nfnet_l1,classification,imagenet,eca_nfnet_l1,Convolutional,Semantic,ECA-NFNeT-L1,ECA-NFNeT-L1 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
ecaresnet50d,classification,imagenet,ecaresnet50d,Convolutional,Semantic,ECA-Resnet50-D,ECA-Resnet50-D trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
ecaresnet101d,classification,imagenet,ecaresnet101d,Convolutional,Semantic,ECA-Resnet101-D,ECA-Resnet101-D trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
efficientnet_b1,classification,imagenet,efficientnet_b1,Convolutional,Semantic,EfficientNet-B1,EfficientNet-B1 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
efficientnet_b3,classification,imagenet,efficientnet_b3,Convolutional,Semantic,EfficientNet-B3,EfficientNet-B3 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
efficientnet_b5,classification,imagenet,efficientnet_b5,Convolutional,Semantic,EfficientNet-B5,EfficientNet-B5 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
efficientnet_b7,classification,imagenet,efficientnet_b7,Convolutional,Semantic,EfficientNet-B7,EfficientNet-B7 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
gcresnet50t,classification,imagenet,gcresnet50t,Convolutional,Semantic,GCResNet50T,GCResNet50T trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
efficientnetv2_rw_s,classification,imagenet,efficientnetv2_rw_s,Convolutional,Semantic,EfficientNet-V2-S,EfficientNet-V2-S trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
fbnetc_100,classification,imagenet,fbnetc_100,Convolutional,Semantic,FBNetC100,FBNetC100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
gernet_l,classification,imagenet,gernet_l,Convolutional,Semantic,GerNet-L,GerNet-L trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
gernet_s,classification,imagenet,gernet_s,Convolutional,Semantic,GerNet-S,GerNet-S trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
ghostnet_100,classification,imagenet,ghostnet_100,Convolutional,Semantic,GhostNet100,GhostNet100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
gmixer_24_224,classification,imagenet,gmixer_24_224,Convolutional,Semantic,GMixer-24,GMixer-24 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
gmlp_s16_224,classification,imagenet,gmlp_s16_224,Convolutional,Semantic,GMLP-S16,GMLP-S16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
halonet26t,classification,imagenet,halonet26t,Convolutional,Semantic,HaloNet-26T,HaloNet-26T trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
hardcorenas_a,classification,imagenet,hardcorenas_a,Convolutional,Semantic,HardCoreNAS-A,HardCoreNAS-A trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
hardcorenas_f,classification,imagenet,hardcorenas_f,Convolutional,Semantic,HardCoreNAS-F,HardCoreNAS-F trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
hrnet_w18,classification,imagenet,hrnet_w18,Convolutional,Semantic,HRNet-W18,HRNet-W18 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
hrnet_w64,classification,imagenet,hrnet_w64,Convolutional,Semantic,HRNet-W64,HRNet-W64 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
jx_nest_base,classification,imagenet,jx_nest_base,Transformer,Semantic,JX-NesT-Base,JX-NesT-Base trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
jx_nest_small,classification,imagenet,jx_nest_small,Transformer,Semantic,JX-NesT-Small,JX-NesT-Small trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
jx_nest_tiny,classification,imagenet,jx_nest_tiny,Transformer,Semantic,JX-NesT-Tiny,JX-NesT-Tiny trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
lambda_resnet26t,classification,imagenet,lambda_resnet26t,Convolutional,Semantic,Lambda-ResNet-26T,Lambda-ResNet-26T trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
levit_128,classification,imagenet,levit_128,Transformer,Semantic,LeViT128,LeViT128 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
levit_256,classification,imagenet,levit_256,Transformer,Semantic,LeViT256,LeViT256 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
inception_resnet_v2,classification,imagenet,inception_resnet_v2,Convolutional,Semantic,Inception-Resnet-V2,Inception-Resnet-V2 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
inception_v3,classification,imagenet,inception_v3,Convolutional,Semantic,Inception-V3,Inception-V3 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
inception_v4,classification,imagenet,inception_v4,Convolutional,Semantic,Inception-V4,Inception-V4 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mixer_b16_224,classification,imagenet,mixer_b16_224,MLP-Mixer,Semantic,MLP-Mixer-B16,MLP-Mixer-B16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mixer_l16_224,classification,imagenet,mixer_l16_224,MLP-Mixer,Semantic,MLP-Mixer-L16,MLP-Mixer-L16 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mixnet_l,classification,imagenet,mixnet_l,Convolutional,Semantic,MixNet-L,MixNet-L trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mixnet_s,classification,imagenet,mixnet_s,Convolutional,Semantic,MixNet-S,MixNet-S trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mnasnet_100,classification,imagenet,mnasnet_100,Convolutional,Semantic,MNASNet100,MNASNet100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mnasnet_100,classification,imagenet,mnasnet_100,Convolutional,Semantic,MNASNet100,MNASNet100 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mobilenetv3_large_100,classification,imagenet,mobilenetv3_large_100,Convolutional,Semantic,MobileNet-V3-Large,MobileNet-V3-Large trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mobilenetv3_rw,classification,imagenet,mobilenetv3_rw,Convolutional,Semantic,MobileNet-V3,MobileNet-V3 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
mobilevit_s,classification,imagenet,mobilevit_s,Transformer,Semantic,MobileViT-S,MobileViT-S trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
nasnetalarge,classification,imagenet,nasnetalarge,Convolutional,Semantic,NASNet-A-Large,NASNet-A-Large trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
nf_resnet50,classification,imagenet,nf_resnet50,Convolutional,Semantic,NF-ResNet50,NF-ResNet50 trained on image classification with the ImageNet dataset.,timm,https://github.com/rwightman/pytorch-image-models/,
